Apartment Name,Average Rating,Latitude,Longitude,Price,Discount,Save money,Character,Room Type,Pets_allowed,Free canceled,Amenities,URL
Room in Pittsburgh,5.0 (6),40.46975,-79.91771,$41,No,0,Cozy and Chic Retreat! 2A,private_room,No,No,,https://airbnb.com/rooms/1092076777297077132
Home in Clairton,5.0 (58),40.29266,-79.9649,$99,No,0,Updated 2 story with extra fun.,entire_home,No,No,,https://airbnb.com/rooms/743723925919310769
Guest suite in Pittsburgh,4.95 (19),40.37809,-80.04989,$80,Yes,25,Magnolia Place,entire_home,No,Yes,,https://airbnb.com/rooms/1126333989849480574
Apartment in Millvale,4.98 (165),40.48446,-79.97259,$99,No,0,*Comfy Cozy Clean* 1stFloor 2BR apartment,entire_home,No,Yes,,https://airbnb.com/rooms/53214997
Apartment in Pittsburgh,4.93 (343),40.46511,-79.95388,$84,No,0,"Delightful Artsy & Private Apartment, East End PGH",entire_home,No,No,,https://airbnb.com/rooms/16147036
Apartment in Pittsburgh,5.0 (29),40.46099,-79.93031,$131,Yes,33,Upscale King Bed Suite ~ Free parking & ADA!,entire_home,No,Yes,,https://airbnb.com/rooms/1116613006609282710
Home in Pittsburgh,4.98 (59),40.45802,-79.99612,$158,No,0,"HotTub/Yard
<1 miPNCPark
Private Parking",entire_home,No,No,,https://airbnb.com/rooms/617954098247277448
Home in Bridgeville,4.94 (126),40.36002,-80.11197,$120,No,0,Spacious 2 Bedroom in a Convenient Location,entire_home,No,No,,https://airbnb.com/rooms/41708723
Home in Pittsburgh,New,40.43079,-79.91955,$72,No,0,New & Cozy Apt in Squirrel Hill,entire_home,No,Yes,,https://airbnb.com/rooms/1243637938603120171
Apartment in Pittsburgh,5.0 (19),40.43295,-79.91411,$100,No,0,Modern one bedroom basement apartment,entire_home,No,Yes,,https://airbnb.com/rooms/628907700312588884
Room in Sharpsburg,4.86 (93),40.49434,-79.92238,$25,No,0,"Phenom cozy stay ctrl to DT, UPMC, Oakland, Bkr Sq",private_room,No,No,,https://airbnb.com/rooms/34286584
Apartment in Pittsburgh,4.98 (49),40.42873,-79.89557,$108,No,0,"""April's Retreat"" Regent Square King Bed Frick Prk",entire_home,No,No,,https://airbnb.com/rooms/981188882709800723
